country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,2.91,3.58,1.59,2.98,0.995,4.88,3.13,1.73,2.97,3.44,4.29,5.09,4.83,3.86,3.91
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.52,1.6,3.41,2.15,2.22,1.45,1.47,1.25,1.26,0.743,0.784,0.8,1.32,1.52,1.06,1.42,1.13,0.777,1.46,1.93,0.846,1.28,1.33,1.97,1.72,1.66,1.71,1.59,1.54,1.16,1.14
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,1.44,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.69,1.89,1.96,2.04,2.21,1.89,,1.73,,2.67,4.07,,,,1.3,1.55,0.889,0.508,1.19,0.724,0.617,0.48,0.699,0.685,0.887,0.904,1.1
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,13.9,14.2,,16.9,,16.9,,14.5,,0.341,,,,,,,1.52,,8.12,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,,,,,2.57,4.54,9.47,4.57,5.59,3.8,2.71,3.21,6.49,8.44,7.24,2.73,2.72,3.12,2.52,6.39,4.48,5.43
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,0.592,0.607,,,,,0.722,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,3.78,1.27,0.951,,1.73,,,,1.84,1.01,1.3,1.91,1.36,2.2,2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.83,1.63,1.7,1.3,1.25,1.54,1.75,1.04,1.53,0.8,1.36,1.06,1.4,1.59,1.89
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,9.17,8.27,8.22,7.46,9.7,6.7,6.36,6.66,7.51,6.64,6.6,7.05,5.87,6.46,0.195,7.09,0.224,0.193,0.176,0.203,0.192,0.169,0.121,0.122,0.147,0.112,0.189,0.189,,0.217,0.213
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,2.26,2.3,1.77,1.51,1.98,1.93,1.93,3.97,1.77,2.28,1.15,1.25,2.11,1.48,2,1.45,0.798,1.9,1.26,1.56,1.81,1.81,1.49,1.43,1.02
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,0.653,0.886,,,0.209,,,1.05,,,0.447,0.376,0.23,,0.291,,,0.337,0.214,0.0628,0.221,0.149,0.355,0.539,1.01,1.59,1.25,1.77,2.52,1.98,2.49
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0476,0.11,0.136,0.0806,0.0425,0.111,0.0496,0.0534,,0.102,0.178,0.0778,0.199
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,4.06,4.44,5.24,4.69,6.7,8.72,5.73,4.45,3.79,2.76,3.78,4.06,4.13,2.57,2.09,3.72,4.14,3.76,2.91,3.09,2.72,2.83,2.84,3.19,3.35
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,2.17,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,1.04,2.08,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.93,2.64,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,1,0.96,,,,,3.04,0.946,0.71,0.945,0.762,1.5
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,3.79,1.15,,1.19,,1.12,0.93,1.38,0.82,0.47,1.54,1.59,0.83,4.24,,1.4,3.74,2.86,3.37,,3.69,2.71,3.26,4.67,2.92,3.01,4.38,3.7,3.37,4.16,3.87,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,6,12.4,6.41,11.9,8.37,16.5,8.81,12.7,,8.79,9.14,,2.78,1.63,1.28,2.66,2.43,3.66,4.11,6.41,2.72,2.46,1.87
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,,,,,,,,,,,,,,,,,,,,,
